"","game_id","temp","home_team","away_team","total","season","season_type","total_line","Home_Off_EPA","Away_Off_EPA","Home_Def_EPA","Away_Def_EPA"
"156","1999_13_GB_CHI",42,"CHI","GB",54,1999,"REG",39,-0.0816906338478077,-0.0359459460353718,-0.0117423473227055,-0.0371942989071864
"157","1999_13_IND_MIA",75,"MIA","IND",71,1999,"REG",43,-0.124326538966527,0.0532506536760625,-0.119362696357513,-0.0346917887928632
"158","1999_13_KC_DEN",45,"DEN","KC",26,1999,"REG",38.5,-0.0476760724568105,-0.00875096830323809,-0.0718048381223878,-0.15516087519915
"159","1999_13_MIN_TB",62,"TB","MIN",41,1999,"REG",39,-0.153246261216447,0.0101292350753879,-0.160538956522843,-0.0179583103388012
"160","1999_13_NO_ATL",70,"ATL","NO",47,1999,"REG",39.5,-0.116601109884423,-0.134665779881997,0.0035041812073711,-0.00342001791679179
"161","1999_13_NYJ_NYG",61,"NYG","NYJ",69,1999,"REG",34,-0.0944093281821133,-0.0361453822069057,-0.0585346439234138,-0.0435381647914199
"162","1999_13_PHI_ARI",65,"ARI","PHI",38,1999,"REG",37,-0.196485699961533,-0.196024497010181,-0.00356396013036691,-0.118400876980923
"163","1999_13_PIT_JAX",46,"JAX","PIT",26,1999,"REG",37,0.0509792097802891,-0.0716650613963292,-0.141786930850859,-0.0592910040589442
"164","1999_13_SEA_OAK",61,"LV","SEA",51,1999,"REG",41,0.0409182483943874,-0.088355051425911,-0.0696037966147988,-0.0750516760766315
"165","1999_13_TEN_BAL",65,"BAL","TEN",55,1999,"REG",36.5,-0.138212952029977,0.0089118740477988,-0.172476890740374,-0.0391387146349858
"166","1999_13_WAS_DET",70,"DET","WAS",50,1999,"REG",49.5,-0.066410792902094,0.0763603862294098,-0.0706411806641206,-0.0021484395923787
"167","1999_14_ARI_WAS",53,"WAS","ARI",31,1999,"REG",46.5,0.0763603862294098,-0.196485699961533,-0.0021484395923787,-0.00356396013036691
"168","1999_14_BAL_PIT",44,"PIT","BAL",55,1999,"REG",36,-0.0716650613963292,-0.138212952029977,-0.0592910040589442,-0.172476890740374
"169","1999_14_CAR_GB",35,"GB","CAR",64,1999,"REG",42,-0.0359459460353718,0.0115559488463279,-0.0371942989071864,0.0501524852186217
"170","1999_14_CLE_CIN",41,"CIN","CLE",72,1999,"REG",41,-0.0765610322310608,-0.128421866084313,0.0406865938569526,0.0958401521270922
"171","1999_14_DEN_JAX",68,"JAX","DEN",51,1999,"REG",37.5,0.0509792097802891,-0.0476760724568105,-0.141786930850859,-0.0718048381223878
"172","1999_14_DET_TB",79,"TB","DET",39,1999,"REG",36,-0.153246261216447,-0.066410792902094,-0.160538956522843,-0.0706411806641206
"173","1999_14_MIA_NYJ",46,"NYJ","MIA",48,1999,"REG",37,-0.0361453822069057,-0.124326538966527,-0.0435381647914199,-0.119362696357513
